author,creator,titles,dates,publishers,languages,subjects,descriptions,earliest_year,latest_year,Frequency,_merge
G. W. Leslie,"['Leslie, G. W.']","['Historical linguistics proceedings of the first International Conference on Historical Linguistics, Edinburgh 2nd-7th September 1973 ']",[1974.0],"['Amsterdam Oxford North-Holland Publishing Co. [etc.],']",['eng'],['Historical linguistics.'],['Previous control number B7501063'],1974.0,1974.0,1,left_only
James R. Lawler,"['Lawler, James R.(James Ronald),1929-']",['The poet as analyst essays on Paul Valéry'],[1974.0],['Berkeley London University of California Press'],['eng'],"['Valéry, Paul, 1871-1945']",['Includes index'],1974.0,1974.0,1,left_only
Anthony Conran,"['Conran, Anthony,1931-', 'Conran, Anthony.']","['The cost of strangeness essays on the English poets of Wales', 'Where is thy sting? /']","[1982.0, 1974.0]","['Llandysul Gomer', '[S.l.] :  printed by Gwenlyn Evans Ltd., ']","['eng', 'eng']","['English poetry', nan]","[nan, nan]",1974.0,1982.0,2,left_only
Alan Boucher,"['Boucher, Alan.']",['Poems of today from twenty-five modern Icelandic poets /'],[1974.0],"['Reykjavik :  Iceland Review, ']",['eng'],['English poetry'],[nan],1974.0,1974.0,1,left_only
Larry Niven,"['Niven, Larry.']",['Protector'],[1974.0],['London Futura Publications Ltd'],['eng'],['English fiction.'],"['\'A shorter version of this novel appeared under the title ""The Adults"" in ""Galaxy Magazine"" June 1967\' - title page verso']",1974.0,1974.0,1,left_only
John David Thomas,"['Thomas, John David.']",['The Vindolanda writing tablets'],[1974.0],['Newcastle upon Tyne Graham'],['eng'],['Excavations (Archaeology)'],[nan],1974.0,1974.0,1,left_only
Organisation for Economic Cooperation and DevelopmentDevelopment Centre,"['Organisation for Economic Co-operation and Development.Development Centre.', 'Organisation for Economic Co-operation and Development.Development Centre.', 'Organisation for Economic Co-operation and Development.Development Centre.', 'Organisation for Economic Co-operation and Development.Development Centre.', 'Organisation for Economic Co-operation and Development.Development Centre.', 'Organisation for Economic Co-operation and Development.Development Centre.']","['Studies on rural development', 'Directory of development research and training institutes in Europe', 'The future of agriculture : developing country implications /', 'Modelling economy-wide reforms /', 'Perspectives on global development 2010 : shifting wealth /', 'Chinese Economic Performance in the Long Run [electronic resource] /']","[1980.0, 1974.0, 1992.0, 1994.0, 2010.0, 1998.0]","['Paris O.E.C.D.', 'Paris O.E.C.D., Development Centre [London] [H.M.S.O.],', 'Paris : Development Centre, Organisation for Economic Co-operation and Development,', 'Paris : Organisation for Economic Co-operation and Development, Development Centre,', 'Paris : OECD,', 'Paris : OECD Publishing,']","['eng', 'eng', 'eng', 'eng', 'eng', 'eng']","['Community development.', 'Underdeveloped areas', 'Agriculture', nan, nan, 'Economic forecasting']","['Vol.I : Studies on project design, implementation and evaluation ; Vol.II : Studies on rural water supply systems', 'ISBN 92-64-11236-7', 'Includes bibliographical references.', 'Includes bibliographies.', 'Includes bibliographical references.', 'This book is unique in its depth of perspective. It uses a comparative approach to explain why China’s role in the world economy has changed so dramatically in the last thousand years. It concludes that China is likely to resume its natural role as the world’s largest economy by the year 2015, thus regaining the position it had held until the end of the nineteenth century. The study provides a major reassessment of the scale and scope of China’s resurgence over the past half century, employing quantitative measurement techniques which are standard practice in OECD countries, but which have not hitherto been available for China. Written by the author of many studies on comparative economic history, including two best sellers for the OECD Development Centre, this book is essential reading for all those who seek to understand the role of China in the world economy, in the past, as well as in the present and the future.']",1974.0,2010.0,6,left_only
Colin Willock,"['Willock, Colin.', 'Willock, Colin,1919-']","['The fighters a panoramic novel about the fighter war in the West, 1939-1945', ""The anglers' encyclopaedia""]","[1974.0, 1978.0]","['London Sphere', 'London Pelham']","['eng', 'eng']","['English fiction.', 'Fishing']","['Originally published: Macmillan, 1973', 'Previous ed.: i.e. new ed. 1975']",1974.0,1978.0,2,left_only
Pulp fiction writer Jackson,"['Jackson, Neville(Pulp fiction writer)']",['No end to the way'],[1975.0],['London Corgi'],['eng'],[nan],"['Originally published: London : Barrie & Rockliff, 1965']",1975.0,1975.0,1,left_only
Keith Laumer,"['Laumer, Keith,1925-1993.', 'Laumer, Keith,1925-1993.']","['The world shuffler', 'A plague of demons']","[1978.0, 1975.0]","['Sevenoaks Coronet', 'London Millington']","['eng', 'eng']","['English fiction.', 'English fiction.']","['Originally published: New York : Putnam, 1970 ; London : Sidgwick and Jackson, 1973', '\'A shorter version of this novel appeared serially in ""If"" magazine, November-December, 1964\' - title page verso']",1975.0,1978.0,2,left_only
Virginia Ramosjoint author Foster,"['Foster, Virginia Ramos.joint author.']",['Modern Latin American literature /'],[1975.0],"['New York : Ungar,']",['eng'],['Latin American literature'],['v. 1. A-L.--v. 2. M-Z.'],1975.0,1975.0,1,left_only
Christopher N. Candlin,"['Candlin, Christopher N.']","['Linguistic theory, linguistic description and language teaching /']",[1975.0],['London Longman'],['eng'],['Applied linguistics.'],['Bibliography: p.87-102'],1975.0,1975.0,1,left_only
Christopher Knopf,"['Knopf, Christopher.']",['Posse a novel /'],[1975.0],['Toronto London Bantam'],['eng'],['English fiction.'],[nan],1975.0,1975.0,1,left_only
Gutala Krishnamurti,"['Krishnamurti, Gutala.', 'Krishnamurti, Gutala.']","[""Women writers of the 1890's /"", 'The adventures of Rama']","[1991.0, 1975.0]","['London : H. Sotheran,', 'London Target Books']","['eng', 'eng']","[nan, 'Vālmīki.']","[nan, 'Also published: London : Wingate, 1975']",1975.0,1991.0,2,left_only
Dan J. McNutt,"['McNutt, Dan J.']",['The eighteenth-century Gothic novel : an annotated bibliography of criticism and selected texts /'],[1975.0],"['New York ; London : Garland Pub.,']",['eng'],['Gothic revival (Literature)'],['Includes index.'],1975.0,1975.0,1,left_only
Phillips Vaughn Brooks,"['Brooks, Phillips Vaughn.']","[""The writing and publication history of Compton Mackenzie's novel The four winds of love /""]",[1975.0],"['[S.l. : the author,']",['eng'],"['Mackenzie, Compton, 1883-1972.']",['Thesis presented to George Peabody College for Teachers.'],1975.0,1975.0,1,left_only
Paul Kinsella,"['Kinsella, Paul.']",['The techniques of writing /'],[1975.0],"['New York : Harcourt Brace Jovanovich,']",['eng'],['English language'],[nan],1975.0,1975.0,1,left_only
Abraham Blinderman,"['Blinderman, Abraham,1916-']",['American writers on education after 1865'],[1976.0],['Boston Twayne Publishers'],['eng'],['Educators'],['Bibliography: p. 263-271'],1976.0,1976.0,1,left_only
Farnworth Writers,['Farnworth Writers.'],['Tell tale.'],[1976.0],"['[Bolton] : Farnworth Writers,']",['eng'],[nan],"['""Stories and poems for family reading"".']",1976.0,1976.0,1,left_only
University of BristolSchool of Education,['University of Bristol.School of Education.'],['Local education authority advisers and educational innovation a report on a research project funded by the Department of Education and Science and carried out from 1972-1975 at the School of Education Research Unit [of the University of Bristol]'],[1976.0],"['[Bristol] University of Bristol, School of Education']",['eng'],['Educational innovations'],['Bibliography: (9p.)'],1976.0,1976.0,1,left_only
Roger Lonsdale,"['Lonsdale, Roger.', 'Lonsdale, Roger.']","['The poems of Thomas Gray, William Collins, Oliver Goldsmith', 'Eighteenth century women poets an Oxford anthology']","[1976.0, 1990.0]","['London Longman', 'Oxford Oxford University Press,']","['eng', 'eng']","['English poetry', 'English poetry']","['Includes bibliographies and index', 'Includes index']",1976.0,1990.0,2,left_only
Clair Huffaker,"['Huffaker, Clair,author.', 'Huffaker, Clair.']","['The war wagon /', 'Seven Ways from Sundown']","[nan, 1976.0]","[nan, 'London White Lion Publishers']","['eng', 'eng']","[nan, 'English fiction.']","['""A shorter version of this novel originally appeared in Ranch romances under the title Holdup at Stony Flat""-- title page verso.', 'Originally published: New York : Fawcett, 1960 ; London : Futura Publications, 1974']",1976.0,1976.0,2,left_only
Deirdre English,"['English, Deirdre.']","['Witches, midwives and nurses a history of women healers']",[1976.0],['London Writers and Readers Publishing Cooperative'],['eng'],['Women in medicine.'],['Bibliography: p.62-63'],1976.0,1976.0,1,left_only
Norman Rockwell,"['Rockwell, Norman,1894-1978.']","[""Poor Richard, the almanacks for the years 1733-1758 wherein are retain'd in their entirety the author's prefaces, proverbs, verses & entertaining remarks, together with those chronological, historical and scientific observations which the author has illumin'd with his characteristic wit & wisdom""]",[1976.0],['New York London Paddington Press'],['eng'],['American literature'],"[""'... contains the text of each of the twenty-six issues ... For the most part, meteorological and astronomical material has been omitted, as well as a few factual articles' - note""]",1976.0,1976.0,1,left_only
Elmer Hjoint author Marth,"['Marth, Elmer H.joint author.']",['Staphylococci and their significance in foods /'],[1976.0],"['Amsterdam ; Oxford : Elsevier Scientific Pub. Co.,']",['eng'],['Staphylococcal infections.'],['Includes bibliographies and index.'],1976.0,1976.0,1,left_only
Andrzejjoint author Mostowski,"['Mostowski, Andrzej.joint author.']",['Set theory : with an introduction to descriptive set theory /'],[1976.0],"['Amsterdam ; Oxford : North-Holland Pub. Co.,']",['eng'],['Descriptive set theory.'],['Bibliography: p. [476]-495.'],1976.0,1976.0,1,left_only
Jurgen Knaack,"['Knaack, Jürgen.']",['Achim von Arnim - nicht nur Poet die politischen Anschauungen Arnims in ihrer Entwicklung'],[1976.0],[nan],['und'],[nan],[nan],1976.0,1976.0,1,left_only
Gordon Riley,"['Riley, Gordon,1950-']",['Vintage aircraft directory'],[1976.0],['[London] The author London Distributed by Battle of Britain Prints International Ltd'],['eng'],['Aeronautical museums'],['Includes some helicopters'],1976.0,1976.0,1,left_only
Arnold Bennett,"['Bennett, Arnold,1867-1931.', 'Bennett, Arnold,1867-1931.', 'Bennett, Arnold,1867-1931Literary taste.']","[""The old wives' tale /"", 'These twain', 'The truth about an author ; and, Literary taste : how to form it /']","[1983.0, 1976.0, nan]","['Harmondsworth Penguin', 'Harmondsworth Penguin', nan]","['eng', 'eng', 'eng']","[nan, 'English fiction.', nan]","[nan, 'Originally published: London : Methuen, 1916', nan]",1976.0,1983.0,3,left_only
Gregory Pearson,"['Pearson, Gregory.']","['The Urga manuscript a letter from Do-Ring, Scribe of the Panchen Lama of Tibet, to Wing On, his friend, concerning the inner life /']",[1976.0],['Gerrards Cross Smythe'],['eng'],['Buddha and Buddhism'],['ISBN 0-901072-35-4 Sd : £0.50'],1976.0,1976.0,1,left_only
 Yasar Kemal,"['Yaşar Kemal,1922-']",['They burn the thistles /'],[1977.0],['London Writers and Readers'],['eng'],[nan],"['Originally published: London : Collins ; Harvill Press, 1972']",1977.0,1977.0,1,left_only
Board of Deputies of British Jews,['Board of Deputies of British Jews.'],['Jerusalem : illustrated history atlas /'],[1977.0],"['[London] : The author ; London : Board of Deputies of British Jews,']",['eng'],[nan],['ISBN 0-905648-06-4 Pbk : £1.50'],1977.0,1977.0,1,left_only
Robert M. Scotto,"['Scotto, Robert M.']","['Three contemporary novelists an annotated bibliography of works by and about John Hawkes, Joseph Heller, and Thomas Pynchon']",[1977.0],[nan],['   '],[nan],[nan],1977.0,1977.0,1,left_only
Carolyn Johns Mullins,"['Mullins, Carolyn Johns.']",['A guide to writing and publishing in the social and behavioral sciences'],[1977.0],['New York London Wiley'],['eng'],['Social sciences'],['ISBN 0-471-02708-1 Pbk : Unpriced'],1977.0,1977.0,1,left_only
Ralph Steadman,"['Steadman, Ralph.', 'Steadman, Ralph.']","[""That's my Dad"", 'Steam Press portfolio']","[1986.0, 1977.0]","['London Andersen', '[London] [Steam Press],']","['eng', 'eng']","[nan, 'English poetry']","[nan, 'Limited ed. of 50 numbered sets, signed by the authors and artist. - 9 sheets (9 sides)']",1977.0,1986.0,2,left_only
Mary Ejoint author Whitten,"['Whitten, Mary E.joint author.']",['Harbrace college handbook /'],[1977.0],"['New York : Harcourt Brace Jovanovich,']",['eng'],['English language'],['Includes bibliographical references and index.'],1977.0,1977.0,1,left_only
Ellen Conroy Kennedy,"['Kennedy, Ellen Conroy.']",['The first Camus : an introductory essay / by Paul Viallaneix. Youthful writings / by Albert Camus ; translated from the French by Ellen Conroy Kennedy'],[1977.0],['London Hamilton'],['eng'],['English prose literature'],['Bibliography: p.103-104'],1977.0,1977.0,1,left_only
Author of detective and mystery stories Drake,"['Drake, Francis(Author of detective and mystery stories)']",['Double identity /'],[1977.0],"['London : Hale,']",['eng'],['English fiction.'],[nan],1977.0,1977.0,1,left_only
LAMSACGeneral Management Panel,['LAMSACGeneral Management Panel.'],['Corporate planning within and between authorities interim report of the General Management Panel of LAMSAC'],[1977.0],['London Local Authorities Management Services and Computer Committee'],['eng'],['Local government'],[nan],1977.0,1977.0,1,left_only
